bhk,rent,size,floor,area_type,city,furnishing_status,tenant_preferred,bathroom,point_of_contact,id
2,17000,1000,Ground out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,104bbcc1
2,15000,980,1 out of 4,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,ef8321ee
2,18000,900,3 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,798a64f7
3,80000,1050,16 out of 31,Carpet Area,Mumbai,Furnished,Family,3,Contact Agent,b19dc177
3,12500,1250,2 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner,7c3e5ee4
2,12000,1300,1 out of 2,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner,b8d1c85a
3,120000,2110,3 out of 4,Carpet Area,Bangalore,Unfurnished,Bachelors,3,Contact Agent,ef632290
1,4700,250,1 out of 2,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,d30f79cf
3,27000,1050,Ground out of 4,Carpet Area,Delhi,Unfurnished,Family,2,Contact Agent,2fb16ae5
2,100000,850,4 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,3219b5be
3,37500,1475,1 out of 4,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,6ec645b7
2,85000,650,2 out of 6,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,aa4b27d5
2,18000,1000,Ground out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,36510bd9
2,20000,500,4 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Owner,f6633a1f
1,6000,600,1 out of 2,Carpet Area,Chennai,Unfurnished,Family,1,Contact Owner,2c8d6f46
2,9500,650,Ground out of 3,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,f6eccce0
2,8000,900,Ground out of 2,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner,4454b31c
1,5200,300,Ground out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,d2001654
